start_time	duration	jellyfish_aurelia	jellyfish_ctenophora	jellyfish_unspecified	fish_unspecified	fish_cod	jellyfish_cyanea	fish_herring
2021-06-21 17:20:35.345	00:00:15	241.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-21 17:20:56.635	00:00:19	56.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-21 17:37:31.646	00:00:14	196.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-21 21:35:19.976	00:00:11	0.0	99.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 05:04:33.228	00:00:26	345.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 05:06:16.978	00:00:48	21.0	0.0	0.0	1287.0	0.0	0.0	0.0
2021-06-22 05:07:06.018	00:00:04	0.0	0.0	0.0	10.0	0.0	0.0	0.0
2021-06-22 05:07:21.518	00:00:38	653.0	158.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 05:08:10.168	00:00:15	256.0	0.0	0.0	435.0	0.0	0.0	0.0
2021-06-22 05:12:30.189	00:00:22	23.0	28.0	0.0	937.0	0.0	0.0	0.0
2021-06-22 05:12:55.409	00:00:20	42.0	0.0	0.0	574.0	0.0	0.0	0.0
2021-06-22 05:16:50.989	00:00:13	192.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 05:17:29.279	00:00:14	0.0	82.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 05:35:32.921	00:00:22	296.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 06:32:29.825	00:00:24	237.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 06:41:27.256	00:00:27	395.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 07:01:05.668	00:00:20	0.0	282.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 07:13:02.869	00:00:58	1070.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 07:14:08.669	00:00:09	192.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 07:30:23.140	00:00:48	940.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 07:33:21.141	00:00:12	99.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 08:11:04.284	00:01:16	544.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 08:48:32.267	00:00:28	3.0	120.0	96.0	0.0	0.0	0.0	0.0
2021-06-22 09:05:01.928	00:00:04	19.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 09:05:27.978	00:00:06	132.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 09:05:36.678	00:01:05	933.0	0.0	0.0	95.0	0.0	0.0	0.0
2021-06-22 10:41:40.438	00:00:05	49.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 10:41:47.328	00:00:34	691.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 10:53:20.919	00:00:10	0.0	67.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 10:53:34.539	00:00:32	423.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 11:34:09.543	00:00:24	466.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 11:43:02.644	00:00:06	47.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 13:09:42.171	00:00:08	23.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 13:50:51.294	00:00:26	505.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 13:51:33.724	00:00:23	362.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 14:28:12.367	00:01:10	1122.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 15:31:05.593	00:00:23	152.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 18:18:23.623	00:00:34	649.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 18:49:33.256	00:00:10	0.0	0.0	0.0	131.0	0.0	0.0	0.0
2021-06-22 18:55:25.716	00:00:15	122.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 19:06:51.087	00:00:20	287.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 19:08:16.167	00:00:16	216.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 19:21:43.968		0.0	0.0	0.0	61.0	0.0	0.0	0.0
2021-06-22 19:25:22.469	00:00:09	0.0	0.0	0.0	57.0	0.0	0.0	0.0
2021-06-22 19:27:20.889	00:00:10	0.0	0.0	0.0	69.0	0.0	0.0	0.0
2021-06-22 19:30:13.659	00:00:26	0.0	0.0	0.0	415.0	0.0	0.0	0.0
2021-06-22 19:30:59.819	00:00:06	0.0	0.0	0.0	78.0	0.0	0.0	0.0
2021-06-22 19:32:17.389	00:00:19	0.0	0.0	0.0	323.0	0.0	0.0	0.0
2021-06-22 19:35:49.470	00:00:24	2.0	0.0	0.0	587.0	0.0	0.0	0.0
2021-06-22 19:36:15.640	00:00:15	0.0	0.0	0.0	204.0	0.0	0.0	0.0
2021-06-22 19:36:33.550	00:00:07	0.0	0.0	0.0	22.0	0.0	0.0	0.0
2021-06-22 20:03:45.442	00:00:12	0.0	0.0	0.0	161.0	0.0	0.0	0.0
2021-06-22 20:20:13.133	00:00:20	0.0	335.0	0.0	0.0	0.0	0.0	0.0
2021-06-22 20:40:07.475	00:00:09	0.0	0.0	0.0	68.0	0.0	0.0	0.0
2021-06-22 20:58:13.437	00:00:17	0.0	0.0	0.0	211.0	0.0	0.0	0.0
2021-06-22 21:01:20.927	00:00:06	0.0	0.0	0.0	45.0	0.0	0.0	0.0
2021-06-22 21:01:27.537	00:00:11	0.0	0.0	0.0	124.0	0.0	0.0	0.0
